lng,lat,label,source
14.694429,48.163065,1,microsoft
16.337224,47.969723,1,microsoft
16.370334,47.981098,1,microsoft
14.324745,46.604391,1,microsoft
16.355418,48.028293,1,microsoft
13.588116,48.018006,1,microsoft
14.724216,47.177755,1,microsoft
15.123077,47.056081,1,microsoft
15.696853,48.468845,1,microsoft
16.377470,47.988889,1,microsoft
13.409315,47.344950,1,microsoft
14.970505,48.778744,1,microsoft
16.551241,48.113338,1,microsoft
12.277087,47.280509,1,microsoft
15.219965,46.749148,1,microsoft
16.001109,47.197645,1,microsoft
16.816869,48.036410,1,microsoft
14.489261,48.528603,1,microsoft
11.741378,47.374622,1,microsoft
16.666192,48.344891,1,microsoft
16.513208,48.536661,1,microsoft
15.475339,47.038785,1,microsoft
15.946138,46.961375,1,microsoft
15.057223,46.952464,1,microsoft
14.351899,48.112055,1,microsoft
13.863134,48.696564,1,microsoft
14.784495,47.206480,1,microsoft
14.685550,47.712824,1,microsoft
14.740620,47.146462,1,microsoft
16.410103,48.131224,1,microsoft
13.615806,47.968117,1,microsoft
16.095423,47.050957,1,microsoft
14.978412,48.775505,1,microsoft
13.534002,48.533235,1,microsoft
16.503924,48.179343,1,microsoft
16.041202,46.935599,1,microsoft
15.832581,47.370488,1,microsoft
16.084780,47.191963,1,microsoft
15.883146,47.088994,1,microsoft
15.448621,47.011053,1,microsoft
14.170306,47.192765,1,microsoft
13.406165,47.345980,1,microsoft
15.080560,47.391124,1,microsoft
12.623149,46.786325,1,microsoft
14.840316,47.237773,1,microsoft
12.890787,46.684451,1,microsoft
16.384058,48.713839,1,microsoft
13.063785,47.987380,1,microsoft
15.464916,48.642082,1,microsoft
16.062531,48.003669,1,microsoft
14.009669,48.049384,1,microsoft
16.378326,47.991403,1,microsoft
15.440734,47.218536,1,microsoft
14.726462,47.128260,1,microsoft
16.318005,47.150609,1,microsoft
16.733794,48.022376,1,microsoft
15.328943,47.369195,1,microsoft
15.476309,46.970081,1,microsoft
15.882739,48.354991,1,microsoft
16.498293,47.030855,1,microsoft
14.611854,47.168408,1,microsoft
16.530873,48.240368,1,microsoft
16.051588,47.432798,1,microsoft
15.769738,46.714348,1,microsoft
15.171150,48.504763,1,microsoft
14.995898,47.071543,1,microsoft
15.719136,46.743189,1,microsoft
14.957210,48.578858,1,microsoft
15.607152,46.998283,1,microsoft
15.654170,48.655293,1,microsoft
14.386836,47.520107,1,microsoft
16.367447,48.141260,1,microsoft
15.649409,48.413505,1,microsoft
16.536785,48.239047,1,microsoft
15.150746,47.056979,1,microsoft
16.440453,48.146354,1,microsoft
14.700790,47.687680,1,microsoft
16.668290,48.348547,1,microsoft
13.506668,46.731379,1,microsoft
14.173754,46.535370,1,microsoft
15.395581,47.520328,1,microsoft
15.650219,46.843189,1,microsoft
14.843777,47.239891,1,microsoft
15.646842,48.408458,1,microsoft
15.708680,48.396658,1,microsoft
14.420114,46.942858,1,microsoft
16.417307,47.048087,1,microsoft
14.346792,46.756114,1,microsoft
14.476454,47.529613,1,microsoft
15.599480,46.791904,1,microsoft
15.022716,47.431765,1,microsoft
13.436245,48.129345,1,microsoft
16.531168,47.486610,1,microsoft
14.524572,48.006036,1,microsoft
14.894924,48.108454,1,microsoft
16.235808,47.658371,1,microsoft
17.051392,47.910735,1,microsoft
14.430265,47.062709,1,microsoft
14.679850,48.078548,1,microsoft
15.564964,48.567177,1,microsoft
14.390072,46.750509,1,microsoft
14.938944,48.091005,1,microsoft
14.449329,47.211499,1,microsoft
14.629575,47.174468,1,microsoft
9.847869,47.230223,1,microsoft
15.835889,47.097136,1,microsoft
17.048283,47.922155,1,microsoft
14.906302,47.269221,1,microsoft
